Ingredient Name,Vegetarian (y/n),Healthy,East-Asian,Indian,Mexican/Spanish,American,Italian,No Cuisine
beef,,,,,,,,
ham,,,,,,,,
lamb,,,,,,,,
pork,,,,,,,,
veal,,,,,,,,
bison,,,,,,,,
rabbit,,,,,,,,
